INFO 2024-10-07 19:16:31,039 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-07 19:16:31,040 autoreload Waiting for apps ready_event.
DEBUG 2024-10-07 19:16:31,063 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-07 19:16:31,108 autoreload Watching dir D:\django\tasks whatsapp\task_manager\tasks\templates with glob **/*.
DEBUG 2024-10-07 19:16:31,108 autoreload Watching dir D:\django\tasks whatsapp\task_manager\locale with glob **/*.mo.
DEBUG 2024-10-07 19:16:31,108 autoreload Watching dir D:\django\tasks whatsapp\task_manager\tasks\locale with glob **/*.mo.
DEBUG 2024-10-07 19:16:31,567 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\pytz\lazy.py first seen with mtime 1727716435.2115576
DEBUG 2024-10-07 19:16:31,567 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\django\utils\decorators.py first seen with mtime 1727728871.1040206
DEBUG 2024-10-07 19:16:31,568 autoreload File C:\Users\anike\AppData\Local\Programs\Python\Python312\Lib\email\mime\__init__.py first seen with mtime 1712654418.0
DEBUG 2024-10-07 19:16:31,568 autoreload File C:\Users\anike\AppData\Local\Programs\Python\Python312\DLLs\_decimal.pyd first seen with mtime 1712654462.0
DEBUG 2024-10-07 19:16:31,568 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\pymongo\settings.py first seen with mtime 1727717029.249957
DEBUG 2024-10-07 19:16:31,568 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1727728870.747972
DEBUG 2024-10-07 19:16:31,568 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1727882787.9155269
DEBUG 2024-10-07 19:16:31,569 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1727728870.7180533
DEBUG 2024-10-07 19:16:31,569 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1727728870.721045
DEBUG 2024-10-07 19:16:31,569 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\django\templatetags\__init__.py first seen with mtime 1727728871.0701113
DEBUG 2024-10-07 19:16:31,569 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\dns\rdatatype.py first seen with mtime 1727709584.123766
DEBUG 2024-10-07 19:16:31,569 autoreload File C:\Users\anike\AppData\Local\Programs\Python\Python312\Lib\_markupbase.py first seen with mtime 1712654418.0
DEBUG 2024-10-07 19:16:31,569 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\bson\regex.py first seen with mtime 1727717029.182011
DEBUG 2024-10-07 19:16:31,570 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1727728871.1469054
DEBUG 2024-10-07 19:16:31,570 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\django\forms\utils.py first seen with mtime 1727728870.9564145
DEBUG 2024-10-07 19:16:31,570 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1727882787.9125352
DEBUG 2024-10-07 19:16:31,570 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1727728871.1409225
DEBUG 2024-10-07 19:16:31,570 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1727728870.8447125
DEBUG 2024-10-07 19:16:31,570 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1727882787.9075487
DEBUG 2024-10-07 19:16:31,570 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1727728867.5874252
DEBUG 2024-10-07 19:16:31,571 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1727728871.1439135
DEBUG 2024-10-07 19:16:31,571 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1727728868.6735215
DEBUG 2024-10-07 19:16:31,571 autoreload File D:\django\tasks whatsapp\myenv\Lib\site-packages\pymongo\client_options.py first seen with mtime 1727717029.1978986
